filter_id,filter_name,filter_category,filter_type,category_priority,group_name,sub_group_name,curated_list_id,is_default,highlight,ordering
29628,All,Markets,Primary,1,Thai Equities,Stocks,10098,0,0,1
29635,SET50,Markets,Primary,1,Thai Equities,Stocks,661,1,0,2
29642,SET,Markets,Primary,1,Thai Equities,Stocks,668,0,0,3
29649,MAI,Markets,Primary,1,Thai Equities,Stocks,710,0,0,4
29656,SETHD,Markets,Primary,1,Thai Equities,Stocks,689,0,0,5
29663,sSET,Markets,Primary,1,Thai Equities,Stocks,675,0,0,6
29670,Basic Materials,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,1
29677,Communication Services,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,2
29684,Consumer Cyclical,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,3
29691,Consumer Defensive,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,4
29698,Energy,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,5
29705,Financial Services,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,6
29712,Healthcare,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,7
29719,Industrials,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,8
29726,Real Estate,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,9
29733,Technology,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,10
29740,Utilities,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,11
29747,Others,Sectors,Secondary,2,Thai Equities,Stocks,0,0,0,12
29754,All,Markets,Primary,1,Thai Equities,Derivative Warrants,10105,0,0,1
29761,SET50 Index,Markets,Primary,1,Thai Equities,Derivative Warrants,990,1,0,2
29768,Thai Stock,Markets,Primary,1,Thai Equities,Derivative Warrants,997,0,0,3
29775,Foreign,Markets,Primary,1,Thai Equities,Derivative Warrants,1004,0,0,4
29782,Call Only,Call/Put,Secondary,4,Thai Equities,Derivative Warrants,0,0,0,1
29789,Put Only,Call/Put,Secondary,4,Thai Equities,Derivative Warrants,0,0,0,2
29796,ASPS,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,1
29803,BLS,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,2
29810,FSS,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,3
29817,JPM,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,4
29824,KGI,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,5
29831,KKPS,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,6
29838,KS,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,7
29845,MACQ,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,8
29852,MST,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,9
29859,SCBS,Issuers,Secondary,5,Thai Equities,Derivative Warrants,0,0,0,10
