curated_list_id,curated_list_code,curated_type,relevant_to,name,hashtag,ordering,create_time,update_time,update_by,Is_default
43,,Logical,Bonds,Bonds,,7,2022-08-24 23:36:20,2022-08-24 23:36:20,wu,N/A
57,,Logical,Landing Pages,Pi-Ideas,#Pi.Ideas,1,2022-08-26 14:21:54,2022-08-26 14:21:54,wu,N/A
64,,Logical,Thai Equities,Thai Stocks,#THStocks,1,2022-08-26 15:47:55,2022-08-26 15:47:55,wu,N/A
71,,Logical,Thai Equities,Derivative Warrants,#DW,1,2022-08-26 15:52:58,2022-08-26 15:52:58,wu,N/A
85,,Logical,Thai Equities,PFREIT,#PFREITS,1,2022-08-26 15:59:25,2022-10-21 19:26:39,wu,N/A
99,,Logical,Thai Equities,ETFs,#ETFs,1,2022-08-26 16:06:59,2022-08-26 16:06:59,wu,N/A
113,,Logical,Thai Equities,Awesome Warrants,#AwesomeWarrants,1,2022-08-26 16:15:35,2022-08-26 16:15:35,wu,N/A
127,,Logical,Thai Equities,PFREITS 1,#PFREITS1,1,2022-08-26 16:20:46,2022-08-26 16:20:46,wu,N/A
134,,Logical,Thai Equities,PFREITS 2,#PFREITS2,1,2022-08-26 16:22:10,2022-08-26 16:22:10,wu,N/A
141,,Logical,Thai Equities,PFREITS 3,#PFREITS3,1,2022-08-26 16:22:43,2022-08-26 16:22:43,wu,N/A
148,,Logical,Thai Equities,PFREITS 4,#PFREITS4,1,2022-08-26 16:25:08,2022-08-26 16:25:08,wu,N/A
155,,Logical,Thai Equities,PFREITS 5,#PFREITS5,1,2022-08-26 16:25:47,2022-08-26 16:25:47,wu,N/A
162,,Logical,Thai Equities,Inno DR,#DR,1,2022-08-26 16:27:36,2022-08-26 16:27:36,wu,N/A
169,,Logical,Thai Equities,EV DR,#DR,1,2022-08-26 16:29:13,2022-08-26 16:29:13,wu,N/A
176,,Logical,Thai Equities,Huge DR,#DR,1,2022-08-26 16:29:58,2022-08-26 16:29:58,wu,N/A
183,,Logical,Derivatives,SET50 Futures,#S50Futures,1,2022-08-26 16:34:24,2022-08-26 16:34:24,wu,N/A
190,,Logical,Derivatives,SET50 Options,#S50IO,1,2022-08-26 16:36:59,2022-08-26 16:36:59,wu,N/A
197,,Logical,Derivatives,SET50 Call Options,#S50IO,1,2022-08-26 16:38:28,2022-08-26 16:38:28,wu,N/A
204,,Logical,Derivatives,SET50 Put Options,#S50IO,1,2022-08-26 16:39:53,2022-08-26 16:39:53,wu,N/A
211,,Logical,Derivatives,Stock Futures,#SSF,1,2022-08-26 16:41:41,2022-08-26 16:41:41,wu,N/A
218,,Logical,Derivatives,Bank,#Bank,1,2022-08-26 16:43:49,2022-08-26 16:43:49,wu,N/A
225,,Logical,Derivatives,Communications,#Comm,1,2022-08-26 16:45:15,2022-08-26 16:45:15,wu,N/A
232,,Logical,Derivatives,Information,#ICT,1,2022-08-26 16:46:35,2022-08-26 16:46:35,wu,N/A
239,,Logical,Derivatives,MetalCurrencyFutures,#MCF,1,2022-08-26 16:48:01,2022-08-26 16:48:01,wu,N/A
246,,Logical,Global Equities,Global Equities,#GlobalEQ,1,2022-08-26 16:50:18,2022-08-26 16:50:18,wu,N/A
253,,Logical,Global Equities,Global Stocks,#GlobalStocks,1,2022-08-26 16:53:07,2022-08-26 16:53:07,wu,0
260,,Logical,Global Equities,Global ETFs,#GlobalETFs,1,2022-08-26 16:55:15,2022-08-26 16:55:15,wu,1
267,,Logical,Funds,Funds,#MostActiveFunds,1,2022-08-26 17:02:55,2022-08-26 17:02:55,wu,N/A
295,,Logical,Indices,Sector Indices,#sectorIndices,1,2022-08-26 17:13:16,2022-11-17 17:28:58,pitest03,N/A
309,,Logical,Crypto,Default (Crypto THB Pairs),#Crypto,1,2022-08-26 17:16:40,2022-10-21 19:08:50,wu,N/A
367,toploser,Logical,Thai Equities,Thai Top Loser,#Top.Loser.TH,3,2022-10-21 11:29:31,2022-10-21 19:18:29,wu,N/A
661,,Logical,Thai Equities,S50,#SET50.TH,,2022-11-09 13:05:48,2022-11-09 13:05:48,,1
668,,Logical,Thai Equities,SET,#SET.TH,,2022-11-09 13:05:48,2022-11-09 13:05:48,,0
675,,Logical,Thai Equities,SSET,#sSET.TH,,2022-11-09 13:05:48,2022-11-09 13:05:48,,0
682,,Logical,Thai Equities,SETCLMV,#SETCLMV,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
689,,Logical,Thai Equities,SETHD,#SETHD,,2022-11-09 13:05:48,2022-11-09 13:05:48,,0
696,,Logical,Thai Equities,SETHSI,#SETHSI,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
703,,Logical,Thai Equities,SETWEB,#SETWEB,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
710,,Logical,Thai Equities,mai,#SET.mai,,2022-11-09 13:05:48,2023-08-26 12:13:27,norathep.si,0
717,,Logical,Thai Equities,AGRO,#AGRO,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
724,,Logical,Thai Equities,CONSUMP,#CONSUMP,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
731,,Logical,Thai Equities,FINCIAL,#FINCIAL,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
738,,Logical,Thai Equities,SERVICE,#SERVICE,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
745,,Logical,Thai Equities,PROPCON,#PROPCON,,2022-11-09 13:05:48,2022-11-09 13:05:48,,N/A
